movie_title,china_total_gross,budget_clean,running_time,running_time^2,star_count,star_power_mean,star_power_sum,release_month,mpaa_G,mpaa_NC-17,mpaa_Not Rated,mpaa_PG,mpaa_PG-13,mpaa_R,director_Anthony Russo,director_Christopher Nolan,director_David Yates,director_J.J. Abrams,director_James Cameron,director_Jon Favreau,director_Michael Bay,director_Peter Jackson,director_Steven Spielberg,director_Tim Burton,director_Other,release_date_diff,release_order_CN_first,release_order_US_first,release_month_1.0,release_month_2.0,release_month_3.0,release_month_4.0,release_month_5.0,release_month_6.0,release_month_7.0,release_month_8.0,release_month_9.0,release_month_10.0,release_month_11.0,release_month_12.0,Action,Adventure,Thriller,Drama,Comedy,Romance,Sci-Fi,Sport,Fantasy,Animation,Family,Musical,Mystery,Biography,Crime,History,War,Horror,Western,Music,Documentary,Reality-TV
Mission: Impossible II,3453141.0,125000000,123.0,15129.0,1,144693862,144693862,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-89,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gladiator,3376447.0,103000000,155.0,24025.0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-92,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What Women Want,10288154.0,56685818,116.0,13456.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie's Angels,10800219.0,48000000,118.0,13924.0,1,90774479,90774479,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southpaw,1168081.0,30000000,124.0,15376.0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-406,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Fellowship of the Ring,6880952.0,93000000,178.0,31684.0,2,192956467,385912934,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-113,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrek,849069.0,60000000,90.0,8100.0,2,97738567,195477134,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-229,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
The Mummy Returns,3477429.0,98000000,130.0,16900.0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-160,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lara Croft: Tomb Raider,2137721.0,115000000,100.0,10000.0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-133,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Moulin Rouge!,1294898.0,50000000,127.0,16129.0,3,101502538,304507613,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-211,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Two Towers,2989677.0,94000000,179.0,32041.0,3,162537275,487611825,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-129,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ice Age,839834.0,59000000,81.0,6561.0,3,239380431,718141292,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-199,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Catch Me If You Can,1262377.0,52000000,141.0,19881.0,2,142959858,285919715,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-107,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
The Bourne Identity,1936305.0,60000000,119.0,14161.0,1,90235156,90235156,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-160,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sweet Sixteen,22779899.0,25767099,93.0,8649.0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Return of the King,10427541.0,94000000,201.0,40401.0,3,162537275,487611825,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-86,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hulk,982229.0,137000000,138.0,19044.0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-110,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master and Commander: The Far Side of the World,2454581.0,150000000,138.0,19044.0,1,323186394,323186394,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-70,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
The Italian Job,2108767.0,60000000,111.0,12321.0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-182,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Johnny English,994472.0,40000000,89.0,7921.0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-55,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freddy vs. Jason,202519.0,30000000,97.0,9409.0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-75,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Core,1361040.0,60000000,135.0,18225.0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-91,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrek 2,1498663.0,150000000,93.0,8649.0,2,97738567,195477134,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-86,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Prisoner of Azkaban,2500000.0,130000000,142.0,20164.0,3,362838939,1088516816,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-98,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
