,movie_title,china_total_gross,domestic_toal_gross,international_total_gross,china_opening_sales,domestic_opening_sales,china_release_date,dom_release_date,summary_link_stub
0,Mission: Impossible II,3453141.0,215409889,330978219,,57845297.0,2000-08-21,2000-05-24,/title/tt0120755/?ref_=bo_gr_ti
1,Gladiator,3376447.0,187705427,272878533,,34819017.0,2000-08-05,2000-05-05,/title/tt0172495/?ref_=bo_gr_ti
2,Cast Away,,233632142,196000000,,28883406.0,,2000-12-22,/title/tt0162222/?ref_=bo_gr_ti
3,What Women Want,10288154.0,123526,11714651,,53224.0,2011-02-03,2011-02-03,/title/tt1667150/?ref_=bo_gr_ti
4,Dinosaur,,137748063,212074702,,38854851.0,,2000-05-19,/title/tt0130623/?ref_=bo_gr_ti
5,How the Grinch Stole Christmas,,260044825,85096578,,55082330.0,,2000-11-17,/title/tt0170016/?ref_=bo_gr_ti
6,Meet the Parents,,166244045,164200000,,28623300.0,,2000-10-06,/title/tt0212338/?ref_=bo_gr_ti
7,The Perfect Storm,,182618434,146100000,,41325042.0,,2000-06-30,/title/tt0177971/?ref_=bo_gr_ti
8,X,,157299718,139039810,,54471475.0,,2000-07-14,/title/tt0120903/?ref_=bo_gr_ti
9,What Lies Beneath,,155464351,135956000,,29702959.0,,2000-07-21,/title/tt0161081/?ref_=bo_gr_ti
10,Scary Movie,,157019771,121000000,,42346669.0,,2000-07-07,/title/tt0175142/?ref_=bo_gr_ti
11,Charlie's Angels,10800219.0,17803077,55476811,7639741.0,8351109.0,2019-11-15,2019-11-15,/title/tt5033998/?ref_=bo_gr_ti
12,Erin Brockovich,,125595205,130676081,,28138465.0,,2000-03-17,/title/tt0195685/?ref_=bo_gr_ti
13,Unbreakable,,95011339,153106782,,30330771.0,,2000-11-22,/title/tt0217869/?ref_=bo_gr_ti
14,Gone in 60 Seconds,,101648571,135553728,,25336048.0,,2000-06-09,/title/tt0187078/?ref_=bo_gr_ti
15,Chicken Run,,106834564,118000000,,17506162.0,,2000-06-23,/title/tt0120630/?ref_=bo_gr_ti
16,Vertical Limit,,69243859,146420000,,15507845.0,,2000-12-08,/title/tt0190865/?ref_=bo_gr_ti
17,The Patriot,,113330342,101964000,,22413710.0,,2000-06-28,/title/tt0187393/?ref_=bo_gr_ti
18,"Crouching Tiger, Hidden Dragon",,128078872,85446864,,663205.0,,2000-12-08,/title/tt0190332/?ref_=bo_gr_ti
19,Miss Congeniality,,106807667,105935053,,10046534.0,,2000-12-22,/title/tt0212346/?ref_=bo_gr_ti
20,Traffic,,124115725,83400000,,184725.0,,2000-12-27,/title/tt0181865/?ref_=bo_gr_ti
21,Hollow Man,,73209340,117004115,,26414386.0,,2000-08-04,/title/tt0164052/?ref_=bo_gr_ti
