,movie_title,director,principal_cast
0,Mission: Impossible II (2000),John Woo,"Dougray Scott, Tom Cruise, Thandie Newton, Ving Rhames"
1,Gladiator (2000),Ridley Scott,"Connie Nielsen, Oliver Reed, Russell Crowe, Joaquin Phoenix"
2,What Women Want (2011),Daming Chen,"Li Yuan, Julian Chen, Andy Lau, Li Gong"
3,Charlie's Angels (2019),Elizabeth Banks,"Naomi Scott, Elizabeth Banks, Kristen Stewart, Ella Balinska"
4,Southpaw (2015),Antoine Fuqua,"Rachel McAdams, Jake Gyllenhaal, Oona Laurence, Forest Whitaker"
5,The Lord of the Rings: The Fellowship of the Ring (2001),Peter Jackson,"Sean Bean, Orlando Bloom, Elijah Wood, Ian McKellen"
6,Shrek (2001),Andrew Adamson,"John Lithgow, Cameron Diaz, Eddie Murphy, Mike Myers"
7,The Mummy Returns (2001),Stephen Sommers,"Brendan Fraser, John Hannah, Rachel Weisz, Arnold Vosloo"
8,Lara Croft: Tomb Raider (2001),Simon West,"Noah Taylor, Jon Voight, Iain Glen, Angelina Jolie"
9,Moulin Rouge! (2001),Baz Luhrmann,"Jim Broadbent, Nicole Kidman, John Leguizamo, Ewan McGregor"
10,The Lord of the Rings: The Two Towers (2002),Peter Jackson,"Orlando Bloom, Elijah Wood, Ian McKellen, Viggo Mortensen"
11,Harry Potter and the Chamber of Secrets (2002),Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris"
12,Spider,Sam Raimi,"Willem Dafoe, Tobey Maguire, James Franco, Kirsten Dunst"
13,Star Wars: Episode II,George Lucas,"Hayden Christensen, Christopher Lee, Ewan McGregor, Natalie Portman"
14,Ice Age (2002),Chris Wedge,"Denis Leary, Ray Romano, Goran Visnjic, John Leguizamo"
15,Catch Me If You Can (2002),Steven Spielberg,"Tom Hanks, Christopher Walken, Leonardo DiCaprio, Martin Sheen"
16,The Bourne Identity (2002),Doug Liman,"Matt Damon, Clive Owen, Chris Cooper, Franka Potente"
17,E.T. the Extra,Steven Spielberg,"Henry Thomas, Peter Coyote, Dee Wallace, Drew Barrymore"
18,Sweet Sixteen (2016),Jin-gyu Cho,"Joo Won, Geng Han, Kris Wu, Shan Lu"
19,The Lord of the Rings: The Return of the King (2003),Peter Jackson,"Orlando Bloom, Elijah Wood, Ian McKellen, Viggo Mortensen"
20,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Gore Verbinski,"Keira Knightley, Orlando Bloom, Johnny Depp, Geoffrey Rush"
21,X2: X,Bryan Singer,"Patrick Stewart, Halle Berry, Ian McKellen, Hugh Jackman"
22,Hulk (2003),Ang Lee,"Eric Bana, Sam Elliott, Jennifer Connelly, Josh Lucas"
23,Master and Commander: The Far Side of the World (2003),Peter Weir,"Paul Bettany, ""James DArcy"", Russell Crowe, Billy Boyd"
24,The Italian Job (2003),F. Gary Gray,"Edward Norton, Charlize Theron, Mark Wahlberg, Donald Sutherland"
25,Johnny English (2003),Peter Howitt,"John Malkovich, Rowan Atkinson, Natalie Imbruglia, Tasha de Vasconcelos"
26,Freddy vs. Jason (2003),Ronny Yu,"Robert Englund, Kelly Rowland, Ken Kirzinger, Monica Keena"
